Round-robin: ['ALPHANiTV8', 'ALPHANiTV7', 'METAV6', 'METAV5', 'LambdaV1']
Each pair: 10 matches x 1000 hands

  Total: METAV6 +2145  METAV5 -2145  (Wins: 8-2)

=== METAV6 vs LambdaV1 (10 matches) ===
  Match 1: METAV6 +391  LambdaV1 -391  (24s)
  Match 2: METAV6 +423  LambdaV1 -423  (10s)
  Match 3: METAV6 -361  LambdaV1 +361  (38s)
  Match 4: METAV6 +116  LambdaV1 -116  (61s)
  Match 5: METAV6 -1078  LambdaV1 +1078  (52s)
  Match 6: METAV6 +328  LambdaV1 -328  (47s)
  Match 7: METAV6 +431  LambdaV1 -431  (24s)
  Match 8: METAV6 +305  LambdaV1 -305  (27s)
  Match 9: METAV6 +325  LambdaV1 -325  (54s)
  Match 10: METAV6 -264  LambdaV1 +264  (51s)
  Total: METAV6 +616  LambdaV1 -616  (Wins: 7-3)

=== METAV5 vs LambdaV1 (10 matches) ===
  Match 1: METAV5 -353  LambdaV1 +353  (46s)
  Match 2: METAV5 -253  LambdaV1 +253  (31s)
  Match 3: METAV5 +433  LambdaV1 -433  (25s)
  Match 4: METAV5 +342  LambdaV1 -342  (27s)
  Match 5: METAV5 +353  LambdaV1 -353  (44s)
  Match 6: METAV5 +464  LambdaV1 -464  (27s)
  Match 7: METAV5 +347  LambdaV1 -347  (20s)
  Match 8: METAV5 -1375  LambdaV1 +1375  (43s)
  Match 9: METAV5 +293  LambdaV1 -293  (43s)
  Match 10: METAV5 +339  LambdaV1 -339  (39s)
  Total: METAV5 +590  LambdaV1 -590  (Wins: 7-3)


============================================================
FINAL STANDINGS
============================================================

Bot           Total Chips   Match Wins
--------------------------------------
ALPHANiTV8         +13901           38
METAV6              +2318           19
LambdaV1            -4478            8
METAV5              -4847           12
ALPHANiTV7          -6894           23

Head-to-head (total chip diff in 10 matches):
--------------------------------------------------
  ALPHANiTV8 vs ALPHANiTV7:  ALPHANiTV8 +3471  ALPHANiTV7 -3471
  ALPHANiTV8 vs METAV6:  ALPHANiTV8 +3820  METAV6 -3820
  ALPHANiTV8 vs METAV5:  ALPHANiTV8 +3150  METAV5 -3150
  ALPHANiTV8 vs LambdaV1:  ALPHANiTV8 +3460  LambdaV1 -3460
  ALPHANiTV7 vs METAV6:  ALPHANiTV7 -3377  METAV6 +3377
  ALPHANiTV7 vs METAV5:  ALPHANiTV7 +142  METAV5 -142
  ALPHANiTV7 vs LambdaV1:  ALPHANiTV7 -188  LambdaV1 +188
  METAV6 vs METAV5:  METAV6 +2145  METAV5 -2145
  METAV6 vs LambdaV1:  METAV6 +616  LambdaV1 -616
  METAV5 vs LambdaV1:  METAV5 +590  LambdaV1 -590
56
